,PLC,Huh7,name,Fold_change
7DHFtm,,,"7-Glutamyl-Dhf Transport, M Mitochondrial",
7THFtl,,,"7-Glutamyl-Thf Transport, Lysosomal",
7THFtm,,,"7-Glutamyl-Thf Transport, M Mitochondrial",
A_MANASEly,68.92,52.56,"Alpha-Mannosidase, Lysosomal",1.3112633181126332
A4GALTc,8.27,0.07,Lactosylceramide 4-Alpha-Galactosyltransferase,118.14285714285712
A4GALTg,8.27,0.07,Lactosylceramide 4-Alpha-Galactosyltransferase,118.14285714285712
A4GNT1g,0.18606,0.21584,"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.8620274277242401
A4GNT2g,0.18606,0.21584,"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.8620274277242401
AACTOOR,0.66,1.35,Aminoacetone:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing),0.4888888888888889
AACTtm,,,"Aminoacetone Transport, Mitochondrial",
AASAD3m,,,"L-Aminoadipate-Semialdehyde Dehydrogenase (NADH), Mitochondrial",
AATAi,24.58,28.99,"2-Aminoadipate Transaminase, Irreversible",0.8478785788202828
ABO1g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABO2g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABO3g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABO4g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABO5g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABO6g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABO7g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABO8g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABO9g,0.04,0.29147,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0.13723539300785673
ABTArm,11.14,45.88,"4-Aminobutyrate Transaminase, Reversible, Mitochondrial",0.24280732345248474
ABTD,,,L-Arabinitol 4-Dehydrogenase,
ABTti,,,L-Arabinitol Transport via Passive Diffusion,
ABUTt2rL,14.18,12.12,"4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal",1.16996699669967
ABUTt4_2_r,4.5614,51.52,4-Aminobutyrate Reversible Transport in via Sodium Symport (1:2),0.0885364906832298
ACACT10m,413.29,295.93,"Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial",1.3965802723617071
ACACT1rm,333.98,188.75,"Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial",1.769430463576159
ACACT1x,198.83,578.15,Acetyl Coenzyme A C-Acetyltransferase,0.3439072904955462
ACACt2m,69.04,130.44,Acetoacetate Mitochondrial Transport via H+ Symport,0.5292854952468569
ACACT4p,34.2,108.66,"Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal",0.31474323578133634
ACACT5p,34.2,108.66,"Acetyl Coenzyme A C-Acyltransferase (Decanoyl Coenzyme A), Peroxisomal",0.31474323578133634
ACACT6p,34.2,108.66,"Acetyl Coenzyme A C-Acetyltransferase (Dodecanoyl), Peroxisomal",0.31474323578133634
ACACT7p,34.2,108.66,"Acetyl Coenzyme A Acyltransferase (Tetradecanoyl Coenzyme A), Peroxisomal",0.31474323578133634
ACACT8p,34.2,108.66,"Acetyl Coenzyme A Acyltransferase (Hexadecanoyl Coenzyme A), Peroxisomal",0.31474323578133634
ACACT9p,34.2,108.66,"Acetyl Coenzyme A Acyltransferase (Tetracosanoyl Coenzyme A), Peroxisomal",0.31474323578133634
ACACtx,,,Acetoacetate Intracellular Transport Unknown Mechanism,
ACALDtm,,,Acetaldehyde Mitochondrial Diffusion,
ACALDtr,,,"Acetaldehyde Reversible Transport, Endoplasmatic Reticulum",
ACALDtx,,,Acetaldehyde Peroxisomal Diffusion,
ACCOACm,7.57,3.81,"Acetyl Coenzyme A Carboxylase, Beta Isoform",1.9868766404199476
ACCOAgt,36.18,36.52,Acetyl Coenzyme A Transport,0.9906900328587075
ACCOALm,66.53,54.22,Acetate Coenzyme A Ligase (AMP-Forming),1.2270379933603837
ACCOAtn,,,"Acetyl Coenzyme A Transport, Nuclear",
ACCOAtr,36.18,36.52,Acetyl Coenzyme A Transport,0.9906900328587075
ACETONEt2,70.08,411.5,Acetone Transport via Proton Symport,0.1703037667071689
ACETONEt2m,69.04,130.44,Acetone Mitochondrial Transport via Proton Symport,0.5292854952468569
ACGAGBSIDEtg,,,Acgagbside Hs Intracellular Transport,
ACGAGBSIDEtl,,,Acgagbside Hs Intracellular Transport,
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
ACGALK,,,N-Acetylgalactosamine Kinase,
ACGALK2,,,N-Acetylgalactosamine Kinase (ITP),
ACGALtlg,,,N-Acetyl-Galactosamine Intracellular Transport,
ACGALtly,,,N-Acetyl-Galactosamine Lysosomal Efflux,
ACGAM6PSi,135.95,73.24,N-Acetylglucosamine-6-Phosphate Synthase,1.8562261059530312
ACGAMK,21.06,25.79,N-Acetylglucosamine Kinase,0.8165955796820473
ACGAMPM,105.87,100.21,Phosphoacetylglucosamine Mutase,1.0564813890829259
ACGAMtly,,,N-Acetyl-Glucosamine Lysosomal Efflux,
ACGBGBSIDEtg,,,Acgbgbside Hs Intracellular Transport,
ACGBGBSIDEtl,,,Acgbgbside Hs Intracellular Transport,
ACGPID,10.66,5.8,N-Acetylglucosaminylphosphatidylinositol Deacetylase,1.8379310344827586
ACGSm,1.01,14.56,"N-Acteylglutamate Synthase, Mitochondrial",0.06936813186813187
ACHEe,2.54,4.86,Acetylcholinesterase,0.522633744855967
ACHtn,,,"Acetylcholin Transport, Nuclear through Pores",
ACHVESSEC,0.18049,0.26183,Acetylcholine Secretion via Secretory Vesicle (ATP Driven),0.6893404117175267
ACITL,473.4,769.2,ATP-Citrate Lyase,0.6154446177847113
ACN13ACNGALGBSIDEte,,,Acn13Acngalgbside Hs Transport,
ACN13ACNGALGBSIDEtg,,,Acn13Acngalgbside Hs Intracellular Transport,
ACN23ACNGALGBSIDEte,,,Acn23Acngalgbside Transport,
ACN23ACNGALGBSIDEtg,,,Acn23Acngalgbside Intracellular Transport,
ACNACNGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
ACNACNGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
ACNACNGALGBSIDEte,,,Acnacngalgbside Hs Transport,
ACNACNGALGBSIDEtg,,,Acnacngalgbside Hs Intracellular Transport,
ACNAM9PL,105.15,96.84,N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating),1.085811648079306
ACNAM9PL2,105.15,96.84,N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating),1.085811648079306
ACNAMlt,69.18,45.93,N-Acetylneuraminate Transport into Lysososme,1.5062050947093404
ACNAMPH,26.52,39.48,N-Acetylneuraminate 9-Phosphate Phosphohydrolase,0.6717325227963526
ACNAMtn,,,N-Acetylneuraminate Nuclear Import,
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,,,Blood Group Intracellular Transport,
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,,,Blood Group Intracellular Transport,
ACNMLr,,,N-Acetylneuraminate Lyase (Reversible),
ACOAD10m,213.11,136.76,"Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial",1.5582772740567419
ACOAD1fm,313.71,241.43,"Acyl Coenzyme A Dehydrogenase (Butanoyl Coenzyme A), Mitochondrial",1.2993828438884976
ACOAD8m,1.36,18.71,"Acyl Coenzyme A Dehydrogenase (Isovaleryl Coenzyme A), Mitochondrial",0.07268840192410476
ACOAD9m,217.66,102.85,"Acyl Coenzyme A Dehydrogenase (Isobutyryl Coenzyme A), Mitochondrial",2.116285853184249
ACOAHi,16.84,1.8,Acetyl Coenzyme A Hydrolase,9.355555555555556
ACOAO7p,121.94,73.52,"Acyl Coenzyme A Oxidase (Hexadecanoyl Coenzyme A), Peroxisomal",1.658596300326442
ACODA,47.72,55.89,Acetylornithine Deacetylase,0.8538200035784577
ACONTm,225.04,119.31,Aconitate Hydratase,1.8861788617886177
ACOX22x,20.8,23.54,"Acyl-Coenzyme A Oxidase 2, Branched Chain",0.8836023789294818
ACOX2x,20.8,23.54,"Acyl-Coenzyme A Oxidase 2, Branched Chain",0.8836023789294818
ACP1_FMN_,630.5653,427.35,Acid Phosphatase (FMN),1.4755242775242774
ACRNtm,19.98,50.47,O-Acetylcarnintine Transport into Mitochondria via Diffusion,0.39587873984545274
ACS2,94.32,137.92,Acetyl Coenzyme A Synthase (Propionate),0.6838747099767981
ACSm,62.79,54.03,Acetyl Coenzyme A Synthetase,1.1621321488062186
ACSRTNMT,0.19,135.8238,S-Adenosyl-L-Homocysteine:N-Acetylserotonin O-Methyltransferase,0.001398871184578844
ACt2m,,,Acetate Mitochondrial Transport via Proton Symport,
ACt2r,,,Acetate Reversible Transport via Proton Symport,
ACtg,,,"Acetate Transport, Golgi Apparatus",
ACTLMO,0.11,0.25,Acetol Monooxygenase,0.44
ACTNMO,0.11,0.25,Acetone Monooxygenase,0.44
ADA,46.25,3.29,Adenosine Deaminase,14.05775075987842
ADAe,46.25,3.29,"Adenosine Deaminase, Extracellular",14.05775075987842
ADCim,,,"Acetoacetate Decarboxylation (Irreversible), Mitochondrial",
ADEt,61.3,114.86,"Adenine Reversible Transport, Cytosol",0.533693191711649
ADK1m,489.6,602.22,"Adenylate Kinase, Mitochondrial",0.8129919298595197
ADK3,0.6552,0.69044,Adentylate Kinase (GTP),0.9489600834250622
ADK3m,28.59,40.62,Adentylate Kinase (GTP),0.7038404726735599
ADKd,0.6552,0.69044,Adenylate Kinase (D Form),0.9489600834250622
ADMDC,220.89,265.99,Adenosylmethionine Decarboxylase,0.830444753562164
ADNCYC,117.8333,92.1163,Adenylate Cyclase,1.2791796891538196
ADNK1m,,,"Adenosine Kinase, Mitochondrial",
ADNt,166.91,168.39,Adenosine Faciliated Transport in Cytosol,0.9912108795059089
ADNt4,0.81749,1.4721,Adenosine Transport (Na/Adn Symport),0.5553223286461518
ADNtl,40.51,44.83,Adenosine Faciliated Transport from Lysosome,0.9036359580637966
ADNtm,105.61,53.53,Adenosine Faciliated Transport in Mitochondria,1.9729123855781805
ADPMAN,146.62,107.73,ADPmannose Diphosphatase,1.360995080293326
ADPRIBt,0.08,14.23,ADPribose Transport,0.005621925509486999
ADPtx,,,"ADP Transporter, Peroxisomal",
ADRNCOAtx,,,Fatty Acid Intracellular Transport,
ADRNCPT1,133.32,38.82,Carnitine O-Palmitoyltransferase,3.434312210200927
ADRNCPT2,29.71,32.19,Carnitine Transferase,0.9229574401988196
ADRNCRNt,39.96,100.94,Transport into the Mitochondria (Carnitine),0.39587873984545274
ADRNLPVESSEC,0.35516,0.49103,Adrenaline Secretion via Secretory Vesicle (ATP Driven),0.7232959289656435
ADRNt,,,Fatty Acid Transport via Diffusion,
ADSK,59.32,102.47,Adenylyl-Sulfate Kinase,0.5789011417975993
ADSL1,349.8,303.14,Adenylosuccinate Lyase,1.1539222801345914
ADSL2,349.8,303.14,Adenylosuccinate Lyase,1.1539222801345914
AFLATOXINte,,,Transport of Xenobiotic,
AG13T16g,139.68,259.9971,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.5372367614869551
AG13T17g,139.68,259.9971,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.5372367614869551
AG13T18g,139.68,259.9971,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.5372367614869551
AG13T1g,139.68,259.9971,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.5372367614869551
AG13T2g,139.68,259.9971,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.5372367614869551
AG13T3g,139.68,259.9971,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.5372367614869551
AGMTm,67.75,96.83,"Agmatinase, Mitochondrial",0.6996798512857586
AGPAT1,394.4,318.12,1-Acylglycerol-3-Phosphate O-Acyltransferase 1,1.2397837294102854
AGTim,69.47,13.81,"Alanine-Glyoxylate Transaminase (Irreversible), Mitochondrial",5.030412744388125
AGTix,0.08,7.35,"Alanine-Glyoxylate Transaminase (Irreversible),, Peroxisomal",0.0108843537414966
AHANDROSTANGLCte,39.2,6.8,Glucuronidated Compound Transport,5.764705882352942
AHANDROSTANGLCtr,,,Glucuronidated Compound Transport,
AHCYStr,,,S-Adenosyl-L-Homocysteine Intracellular Diffusion,
AHEXASE2ly,372.89,245.68,"Beta-N-Acetylhexosaminidase, Lysosomal",1.5177873656789318
AHEXASEly,372.89,245.68,"Beta-N-Acetylhexosaminidase, Lysosomal",1.5177873656789318
AIRCr,285.43,298.67,Phosphoribosylaminoimidazole Carboxylase,0.9556701376100712
AKGDm,124.36,88.42,2-Oxoglutarate Dehydrogenase,1.4064691246324361
AKGMALtm,174.03,128.08,Alpha-Ketoglutarate/Malate Transporter,1.3587601499063084
AKGt4_3,0.04,1.06,Akg Transport via Sodium Symport,0.03773584905660377
AKGtp,,,"Akg Transporter, Peroxisome",
AKR1C1,93.67,835.26,"Aldo-Keto Reductase Family 1, Member C1 (Chlordecone Reductase",0.11214472140411369
AKR1C41,1.11,1.08,"Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase",1.027777777777778
AKR1C42,1.11,1.08,"Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase",1.027777777777778
AKR1D,0.12,8.23,"Aldo-Keto Reductase Family 1, Member D1 (Delta 4-3-Ketosteroid-5-Beta-Reductase)",0.014580801944106924
AKR1D2,0.12,8.23,"Aldo-Keto Reductase Family 1, Member D1 (Delta 4-3-Ketosteroid-5-Beta-Reductase)",0.014580801944106924
ALAASNNaEx,484.08,154.72,L-Alanine/L-Asparagine Na-Dependent Exchange (Ala-L In),3.1287487073422957
ALACYSNaEx,507.98,169.54,L-Alanine/L-Cysteine Na-Dependent Exchange (Ala-L In),2.996225079627227
ALADGLNexR,0.86,107.83,L-Alanine/Glutamine Reversible Antiport,0.00797551701752759
ALADGLYexR,0.86,107.83,D-Alanine/Glycine Reversible Antiport,0.00797551701752759
ALAGLNexR,0.86,107.83,L-Alanine/Glutamine Reversible Antiport,0.00797551701752759
ALAGLNNaEx,484.08,154.72,L-Alanine/L-Glutamine Na-Dependent Exchange (Ala-L In),3.1287487073422957
ALAGLYexR,0.86,107.83,L-Alanine/Glycine Reversible Antiport,0.00797551701752759
ALASERNaEx,507.98,169.54,L-Alanine/L-Serine Na-Dependent Exchange (Ala-L In),2.996225079627227
ALASm,220.42,182.5349,5-Aminolevulinate Synthase,1.2075498986769104
ALAt4,708.27,560.2287,Alanine-Sodium Symporter,1.2642515458419035
ALATA_L,124.5,84.36,L-Alanine Transaminase,1.4758179231863442
ALATHRNaEx,507.98,169.54,L-Alanine/L-Threonine Na-Dependent Exchange (Ala-L In),2.996225079627227
ALAtN1,0.36893,52.07,"Alanine Transport (Na, H Coupled)",0.007085269829076243
ALCD21_D,248.5537,168.706,"Alcohol Dehydrogenase (D-1, 2-Propanediol)",1.473294962834754
ALCD21_L,248.5537,168.706,"Alcohol Dehydrogenase (L-1, 2-Propanediol)",1.473294962834754
ALCD22_D,248.5537,168.706,Alcohol Dehydrogenase (D-Lactaldehyde),1.473294962834754
ALCD22_L,248.5537,168.706,Alcohol Dehydrogenase (L-Lactaldehyde),1.473294962834754
ALCD2if,248.8837,168.846,"Alcohol Dehydrogenase, Forward Rxn (Ethanol -> Acetaldehyde)",1.4740278123260249
ALCD2yf,158.86,250.66,"Alcohol Dehydrogenase (Ethanol, NADP), Forward Reaction",0.6337668555014762
