gene	Symbol	Alias	Name	Huh7	PLC	Fold_change
1743.1	DLST	DLTS	dihydrolipoamide S-succinyltransferase	65.08	87.67	1.3471112476951446
4967.2	OGDH	['AKGDH', 'E1k', 'OGDC']	oxoglutarate dehydrogenase	44.25	62.18	1.4051977401129943
1738.1	DLD	['DLDD', 'DLDH', 'E3', 'GCSL', 'LAD', 'PHE3']	dihydrolipoamide dehydrogenase	111.05	120.35	1.0837460603331832
127.1	ADH4	['ADH-2', 'HEL-S-4']	alcohol dehydrogenase 4 (class II), pi polypeptide	0.5	11.66	23.32
128.1	ADH5	['ADH-3', 'ADHX', 'FALDH', 'FDH', 'GSH-FDH', 'GSNOR', 'HEL-S-60p']	alcohol dehydrogenase 5 (class III), chi polypeptide	144.84	190.0	1.3117923225628279
137872.1	ADHFE1	['ADH8', 'HMFT2263', 'HOT']	alcohol dehydrogenase iron containing 1	1.89	2.48	1.3121693121693123
126.1	ADH1C	ADH3	alcohol dehydrogenase 1C (class I), gamma polypeptide	0.12	5.81	48.416666666666664
125.1	ADH1B	['ADH2', 'HEL-S-117']	alcohol dehydrogenase 1B (class I), beta polypeptide	0.31	0.03	0.0967741935483871
124.1	ADH1A	ADH1	alcohol dehydrogenase 1A (class I), alpha polypeptide	0.14	0.33	2.357142857142857
130.1	ADH6	ADH-5	alcohol dehydrogenase 6 (class V)	11.56	24.94	2.157439446366782
131.1	ADH7	ADH4	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	0.24602163589191162	0.143715547936173	0.5841581672894562
1312.1	COMT	HEL-S-98n	catechol-O-methyltransferase	28.15	59.54	2.1150976909413854
1312.2	COMT	HEL-S-98n	catechol-O-methyltransferase	28.15	59.54	2.1150976909413854
117247.1	SLC16A10	['MCT10', 'PRO0813', 'TAT1']	solute carrier family 16 member 10	12.11	8.65	0.7142857142857143
222.1	ALDH3B2	ALDH8	aldehyde dehydrogenase 3 family member B2	0.28	0.1	0.35714285714285715
220.1	ALDH1A3	['ALDH1A6', 'ALDH6', 'MCOP8', 'RALDH3']	aldehyde dehydrogenase 1 family member A3	0.34708704425799214	0.28	0.8067140638988362
218.1	ALDH3A1	['ALDH3', 'ALDHIII']	aldehyde dehydrogenase 3 family member A1	1.55	0.31	0.19999999999999998
221.1	ALDH3B1	['ALDH4', 'ALDH7']	aldehyde dehydrogenase 3 family member B1	8.38	3.06	0.36515513126491644
3242.1	HPD	['4-HPPD', '4HPPD', 'GLOD3', 'HPPDASE', 'PPD']	4-hydroxyphenylpyruvate dioxygenase	2.41	7.76	3.2199170124481324
18.2	ABAT	['GABA-AT', 'GABAT', 'NPD009']	4-aminobutyrate aminotransferase	22.94	5.57	0.24280732345248474
18.1	ABAT	['GABA-AT', 'GABAT', 'NPD009']	4-aminobutyrate aminotransferase	22.94	5.57	0.24280732345248474
2531.1	KDSR	['DHSR', 'EKVP4', 'FVT1', 'SDR35C1']	3-ketodihydrosphingosine reductase	7.15	18.18	2.5426573426573427
23498.1	HAAO	['3-HAO', 'HAO', 'VCRL1', 'h3HAO']	3-hydroxyanthranilate 3,4-dioxygenase	13.96	0.638501252802321	0.0457379120918568
55268.1	ECHDC2		enoyl-CoA hydratase domain containing 2	12.57	10.11	0.8042959427207637
51166.1	AADAT	['KAT2', 'KATII', 'KYAT2']	aminoadipate aminotransferase	15.64	14.28	0.9130434782608695
51166.2	AADAT	['KAT2', 'KATII', 'KYAT2']	aminoadipate aminotransferase	15.64	14.28	0.9130434782608695
883.1	KYAT1	['CCBL1', 'GTK', 'KAT1', 'KATI']	kynurenine aminotransferase 1	13.35	10.3	0.7715355805243447
1644.1	DDC	AADC	dopa decarboxylase	92.29	20.31	0.22006717954274566
4128.1	MAOA	['BRNRS', 'MAO-A']	monoamine oxidase A	12.36	20.74	1.6779935275080906
4129.1	MAOB		monoamine oxidase B	84.3	2.41	0.02858837485172005
8604.1	SLC25A12	['AGC1', 'ARALAR', 'EIEE39']	solute carrier family 25 member 12	1.07	24.31	22.719626168224295
10165.1	SLC25A13	['ARALAR2', 'CITRIN', 'CTLN2']	solute carrier family 25 member 13	97.95	91.69	0.9360898417559979
2571.1	GAD1	['CPSQ1', 'GAD', 'SCP']	glutamate decarboxylase 1	0.21	14.13	67.28571428571429
2572.1	GAD2	GAD65	glutamate decarboxylase 2	0.39758090700814763	0.214390083080575	0.539236364980126
51380.1	CSAD	['CSD', 'PCAP']	cysteine sulfinic acid decarboxylase	3.53	4.44	1.257790368271955
2571.2	GAD1	['CPSQ1', 'GAD', 'SCP']	glutamate decarboxylase 1	0.21	14.13	67.28571428571429
2805.1	GOT1	['AST1', 'ASTQTL1', 'GIG18', 'cAspAT', 'cCAT']	glutamic-oxaloacetic transaminase 1	141.06	227.02	1.6093860768467319
2806.1	GOT2	['KAT4', 'KATIV', 'KYAT4', 'mitAAT']	glutamic-oxaloacetic transaminase 2	213.65	193.59	0.9061081207582494
8659.1	ALDH4A1	['ALDH4', 'P5CD', 'P5CDh']	aldehyde dehydrogenase 4 family member A1	52.89	25.78	0.4874267347324636
8659.2	ALDH4A1	['ALDH4', 'P5CD', 'P5CDh']	aldehyde dehydrogenase 4 family member A1	52.89	25.78	0.4874267347324636
6818.2	SULT1A3	['HAST', 'HAST3', 'M-PST', 'ST1A3', 'ST1A3/ST1A4', 'ST1A4', 'ST1A5', 'STM', 'TL-PST']	sulfotransferase family 1A member 3	8.67	0.66	0.07612456747404844
6817.5	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	17.52	30.18	1.7226027397260275
6817.3	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	17.52	30.18	1.7226027397260275
6799.2	SULT1A2	['HAST4', 'P-PST', 'P-PST 2', 'ST1A2', 'STP2', 'TSPST2']	sulfotransferase family 1A member 2	5.1	0.91	0.17843137254901964
6799.1	SULT1A2	['HAST4', 'P-PST', 'P-PST 2', 'ST1A2', 'STP2', 'TSPST2']	sulfotransferase family 1A member 2	5.1	0.91	0.17843137254901964
6817.1	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	17.52	30.18	1.7226027397260275
6817.2	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	17.52	30.18	1.7226027397260275
6818.3	SULT1A3	['HAST', 'HAST3', 'M-PST', 'ST1A3', 'ST1A3/ST1A4', 'ST1A4', 'ST1A5', 'STM', 'TL-PST']	sulfotransferase family 1A member 3	8.67	0.66	0.07612456747404844
6817.4	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	17.52	30.18	1.7226027397260275
4363.1	ABCC1	['ABC29', 'ABCC', 'GS-X', 'MRP', 'MRP1']	ATP binding cassette subfamily C member 1	6.8	39.2	5.764705882352942
6822.1	SULT2A1	['DHEA-ST', 'DHEAS', 'HST', 'ST2', 'ST2A1', 'ST2A3', 'STD', 'hSTa']	sulfotransferase family 2A member 1	48.4	0.13	0.0026859504132231405
6573.2	SLC19A1	['CHMD', 'FOLT', 'IFC-1', 'IFC1', 'REFC', 'RFC', 'RFC1']	solute carrier family 19 member 1	41.46	56.99	1.3745779064158226
6573.1	SLC19A1	['CHMD', 'FOLT', 'IFC-1', 'IFC1', 'REFC', 'RFC', 'RFC1']	solute carrier family 19 member 1	41.46	56.99	1.3745779064158226
316.1	AOX1	['AO', 'AOH1']	aldehyde oxidase 1	8.31	0.27	0.032490974729241874
6571.1	SLC18A2	['PKDYS2', 'SVAT', 'SVMT', 'VAT2', 'VMAT2']	solute carrier family 18 member A2	0.2647043651094692	0.16469405248582356	0.6221810978361233
6570.1	SLC18A1	['CGAT', 'VAT1', 'VMAT1']	solute carrier family 18 member A1	0.22632902941935096	0.1904694711855466	0.8415600582664877
2348.2	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	0.38	0.2	0.5263157894736842
2348.1	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	0.38	0.2	0.5263157894736842
2348.5	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	0.38	0.2	0.5263157894736842
2348.3	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	0.38	0.2	0.5263157894736842
2348.4	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	0.38	0.2	0.5263157894736842
2348.6	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	0.38	0.2	0.5263157894736842
2352.1	FOLR3	['FR-G', 'FR-gamma', 'FRgamma', 'gamma-hFR']	folate receptor gamma	0.3896960961325464	0.4429150731900303	1.1365653327955911
4125.1	MAN2B1	['LAMAN', 'MANB']	mannosidase alpha class 2B member 1	52.56	68.92	1.3112633181126332
53947.1	A4GALT	['A14GALT', 'A4GALT1', 'Gb3S', 'P(k)', 'P1', 'P1PK', 'PK']	alpha 1,4-galactosyltransferase (P blood group)	0.07	8.27	118.14285714285712
51146.1	A4GNT	alpha4GnT	alpha-1,4-N-acetylglucosaminyltransferase	0.2158418425404725	0.1860563101674799	0.8620029739256533
28.1	ABO	['A3GALNT', 'A3GALT1', 'GTB', 'NAGAT']	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	0.2914661123670516	0.04	0.13723722348081022
206358.1	SLC36A1	['Dct1', 'LYAAT1', 'PAT1', 'TRAMD3']	solute carrier family 36 member 1	12.12	14.18	1.16996699669967
6539.1	SLC6A12	['BGT-1', 'BGT1', 'GAT2']	solute carrier family 6 member 12	12.09	3.78	0.31265508684863524
6529.1	SLC6A1	['GABATHG', 'GABATR', 'GAT1', 'MAE']	solute carrier family 6 member 1	0.02	0.1569550309903732	7.84775154951866
6538.1	SLC6A11	['GAT-3', 'GAT3', 'GAT4']	solute carrier family 6 member 11	38.99	0.06	0.0015388561169530648
6540.1	SLC6A13	['GAT-2', 'GAT2', 'GAT3']	solute carrier family 6 member 13	0.42	0.5644368983252012	1.3438973769647646
38.1	ACAT1	['ACAT', 'MAT', 'T2', 'THIL']	acetyl-CoA acetyltransferase 1	62.68	187.37	2.9893107849393745
3032.1	HADHB	['ECHB', 'MSTP029', 'MTPB', 'TP-BETA']	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	126.07	146.61	1.16292535892758
10449.1	ACAA2	DSAEC	acetyl-CoA acyltransferase 2	107.18	79.31	0.739970143683523
3030.1	HADHA	['ECHA', 'GBP', 'HADH', 'LCEH', 'LCHAD', 'MTPA', 'TP-ALPHA']	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	146.52	272.82	1.8619983619983618
39.1	ACAT2		acetyl-CoA acetyltransferase 2	578.15	198.83	0.3439072904955462
30.1	ACAA1	['ACAA', 'PTHIO', 'THIO']	acetyl-CoA acyltransferase 1	108.66	34.2	0.31474323578133634
32.1	ACACB	['ACC2', 'ACCB', 'HACC275']	acetyl-CoA carboxylase beta	3.81	7.57	1.9868766404199476
9197.1	SLC33A1	['ACATN', 'AT-1', 'AT1', 'CCHLND', 'SPG42']	solute carrier family 33 member 1	36.52	36.18	0.9906900328587075
79611.1	ACSS3		acyl-CoA synthetase short chain family member 3	54.03	62.79	1.1621321488062186
84532.1	ACSS1	['ACAS2L', 'ACECS1', 'AceCS2L']	acyl-CoA synthetase short chain family member 1	0.19	3.74	19.68421052631579
64841.1	GNPNAT1	['GNA1', 'GNPNAT', 'Gpnat1']	glucosamine-phosphate N-acetyltransferase 1	73.24	135.95	1.8562261059530312
55577.1	NAGK	['GNK', 'HSA242910']	N-acetylglucosamine kinase	25.79	21.06	0.8165955796820473
5238.1	PGM3	['AGM1', 'IMD23', 'PAGM', 'PGM 3']	phosphoglucomutase 3	100.21	105.87	1.0564813890829259
9487.1	PIGL	CHIME	phosphatidylinositol glycan anchor biosynthesis class L	5.8	10.66	1.8379310344827586
162417.1	NAGS	['AGAS', 'ARGA']	N-acetylglutamate synthase	14.56	1.01	0.06936813186813187
43.2	ACHE	['ACEE', 'ARACHE', 'N-ACHE', 'YT']	acetylcholinesterase (Cartwright blood group)	2.43	1.27	0.522633744855967
43.1	ACHE	['ACEE', 'ARACHE', 'N-ACHE', 'YT']	acetylcholinesterase (Cartwright blood group)	2.43	1.27	0.522633744855967
6572.1	SLC18A3	['CMS21', 'VACHT']	solute carrier family 18 member A3	0.26183009907599875	0.18049188975339575	0.6893473683520481
47.1	ACLY	['ACL', 'ATPCL', 'CLATP']	ATP citrate lyase	384.6	236.7	0.6154446177847113
47.2	ACLY	['ACL', 'ATPCL', 'CLATP']	ATP citrate lyase	384.6	236.7	0.6154446177847113
54187.1	NANS	['HEL-S-100', 'SAS', 'SEMDCG', 'SEMDG']	N-acetylneuraminate synthase	96.84	105.15	1.085811648079306
26503.1	SLC17A5	['AST', 'ISSD', 'NSD', 'SD', 'SIALIN', 'SIASD', 'SLD']	solute carrier family 17 member 5	45.93	69.18	1.5062050947093404
140838.1	NANP	['C20orf147', 'HDHD4', 'dJ694B14.3']	N-acetylneuraminic acid phosphatase	19.41	14.52	0.7480680061823802
51205.1	ACP6	['ACPL1', 'LPAP', 'PACPL1']	acid phosphatase 6, lysophosphatidic	15.16	11.87	0.7829815303430079
54.1	ACP5	['HPAP', 'TRACP5a', 'TRACP5b', 'TRAP', 'TrATPase']	acid phosphatase 5, tartrate resistant	4.91	0.13	0.026476578411405296
36.1	ACADSB	['2-MEBCAD', 'ACAD7', 'SBCAD']	acyl-CoA dehydrogenase short/branched chain	79.37	33.17	0.4179160892024694
34.1	ACADM	['ACAD1', 'MCAD', 'MCADH']	acyl-CoA dehydrogenase medium chain	57.39	179.94	3.135389440669106
80724.1	ACAD10		acyl-CoA dehydrogenase family member 10	12.97	7.65	0.5898226676946801
35.1	ACADS	['ACAD3', 'SCAD']	acyl-CoA dehydrogenase short chain	12.25	9.98	0.8146938775510204
84129.1	ACAD11	ACAD-11	acyl-CoA dehydrogenase family member 11	17.06	16.94	0.992966002344666
28976.1	ACAD9	['MC1DN20', 'NPD002']	acyl-CoA dehydrogenase family member 9	45.46	37.72	0.8297404311482621
27034.1	ACAD8	['ACAD-8', 'ARC42']	acyl-CoA dehydrogenase family member 8	16.93	28.31	1.6721795629060838
3712.1	IVD	ACAD2	isovaleryl-CoA dehydrogenase	18.71	1.36	0.07268840192410476
134526.1	ACOT12	['CACH-1', 'Cach', 'STARD15', 'THEAL']	acyl-CoA thioesterase 12	1.8	16.84	9.355555555555556
51.2	ACOX1	['ACOX', 'PALMCOX', 'SCOX']	acyl-CoA oxidase 1	36.76	60.97	1.658596300326442
51.1	ACOX1	['ACOX', 'PALMCOX', 'SCOX']	acyl-CoA oxidase 1	36.76	60.97	1.658596300326442
95.1	ACY1	['ACY-1', 'ACY1D', 'HEL-S-5']	aminoacylase 1	55.89	47.72	0.8538200035784577
48.1	ACO1	['ACONS', 'HEL60', 'IREB1', 'IREBP', 'IREBP1', 'IRP1']	aconitase 1	56.93	108.63	1.9081327946601088
50.1	ACO2	['ACONM', 'HEL-S-284', 'ICRD', 'OCA8', 'OPA9']	aconitase 2	62.38	116.41	1.866142994549535
8309.1	ACOX2	['BCOX', 'BRCACOX', 'BRCOX', 'CBAS6', 'THCCox']	acyl-CoA oxidase 2	23.54	20.8	0.8836023789294818
52.1	ACP1	['HAAP', 'LMW-PTP', 'LMWPTP']	acid phosphatase 1	135.72	206.14	1.5188623636899499
52.3	ACP1	['HAAP', 'LMW-PTP', 'LMWPTP']	acid phosphatase 1	135.72	206.14	1.5188623636899499
55.1	ACPP	"[""5'-NT"", 'ACP-3', 'ACP3']"	acid phosphatase, prostate	0.12	0.14531451931953052	1.2109543276627543
52.2	ACP1	['HAAP', 'LMW-PTP', 'LMWPTP']	acid phosphatase 1	135.72	206.14	1.5188623636899499
788.1	SLC25A20	['CAC', 'CACT']	solute carrier family 25 member 20	50.47	19.98	0.39587873984545274
55902.2	ACSS2	['ACAS2', 'ACECS', 'ACS', 'ACSA', 'dJ1161H23.1']	acyl-CoA synthetase short chain family member 2	61.31	30.82	0.5026912412330777
65985.1	AACS	['ACSF1', 'SUR-5']	acetoacetyl-CoA synthetase	15.3	32.68	2.1359477124183006
55902.1	ACSS2	['ACAS2', 'ACECS', 'ACS', 'ACSA', 'dJ1161H23.1']	acyl-CoA synthetase short chain family member 2	61.31	30.82	0.5026912412330777
438.1	ASMT	['ASMTY', 'HIOMT', 'HIOMTY']	acetylserotonin O-methyltransferase	135.82375214310642	0.19	0.00139887167746487
1571.1	CYP2E1	['CPE1', 'CYP2E', 'P450-J', 'P450C2E']	cytochrome P450 family 2 subfamily E member 1	0.25	0.11	0.44
100.1	ADA		adenosine deaminase	3.29	46.25	14.05775075987842
3177.1	SLC29A2	['DER12', 'ENT2', 'HNP36']	solute carrier family 29 member 2	114.86	61.3	0.533693191711649
204.2	AK2	ADK2	adenylate kinase 2	100.38	98.08	0.9770870691372784
204.1	AK2	ADK2	adenylate kinase 2	100.38	98.08	0.9770870691372784
205.3	AK4	['AK 4', 'AK3', 'AK3L1', 'AK3L2']	adenylate kinase 4	100.36	65.12	0.6488640892785971
205.1	AK4	['AK 4', 'AK3', 'AK3L1', 'AK3L2']	adenylate kinase 4	100.36	65.12	0.6488640892785971
204.3	AK2	ADK2	adenylate kinase 2	100.38	98.08	0.9770870691372784
205.2	AK4	['AK 4', 'AK3', 'AK3L1', 'AK3L2']	adenylate kinase 4	100.36	65.12	0.6488640892785971
26289.1	AK5	AK6	adenylate kinase 5	0.3452226554795248	0.3275972570222867	0.9489448384181047
26289.2	AK5	AK6	adenylate kinase 5	0.3452226554795248	0.3275972570222867	0.9489448384181047
50808.1	AK3	['AK3L1', 'AK6', 'AKL3L', 'AKL3L1', 'FIX']	adenylate kinase 3	40.62	28.59	0.7038404726735599
262.1	AMD1	['ADOMETDC', 'AMD', 'SAMDC']	adenosylmethionine decarboxylase 1	265.99	220.89	0.830444753562164
112.2	ADCY6	['AC6', 'LCCS8']	adenylate cyclase 6	26.72	31.91	1.194236526946108
55811.1	ADCY10	['HCA2', 'HEL-S-7a', 'SAC', 'SACI', 'Sacy', 'hsAC']	adenylate cyclase 10	1.25	3.3	2.6399999999999997
114.1	ADCY8	['AC8', 'ADCY3', 'HBAC1']	adenylate cyclase 8	0.02	0.18234669655809047	9.117334827904523
108.1	ADCY2	['AC2', 'HBAC2']	adenylate cyclase 2	0.32211200291310754	0.2180996966899644	0.6770927339481934
112.1	ADCY6	['AC6', 'LCCS8']	adenylate cyclase 6	26.72	31.91	1.194236526946108
196883.1	ADCY4	AC4	adenylate cyclase 4	0.8441408608839462	0.4028768297507583	0.47726256175880866
109.1	ADCY3	['AC-III', 'AC3', 'BMIQ19']	adenylate cyclase 3	1.12	36.46	32.55357142857142
111.1	ADCY5	['AC5', 'FDFM']	adenylate cyclase 5	3.43	0.09	0.026239067055393583
107.1	ADCY1	['AC1', 'DFNB44']	adenylate cyclase 1	0.06	2.95	49.16666666666667
115.1	ADCY9	['AC9', 'ACIX']	adenylate cyclase 9	28.07	9.93	0.35375846099038116
113.1	ADCY7	AC7	adenylate cyclase 7	3.56	0.48	0.1348314606741573
2030.1	SLC29A1	ENT1	solute carrier family 29 member 1 (Augustine blood group)	53.53	105.61	1.9729123855781805
9154.2	SLC28A1	['CNT1', 'HCNT1', 'URCTU']	solute carrier family 28 member 1	0.09	0.03	0.3333333333333333
64078.1	SLC28A3	CNT3	solute carrier family 28 member 3	0.4820998649653311	0.377485164183041	0.783002011855338
9154.1	SLC28A1	['CNT1', 'HCNT1', 'URCTU']	solute carrier family 28 member 1	0.09	0.03	0.3333333333333333
9153.1	SLC28A2	['CNT2', 'HCNT2', 'HsT17153', 'SPNT1']	solute carrier family 28 member 2	0.81	0.38	0.4691358024691358
55315.1	SLC29A3	['ENT3', 'HCLAP', 'HJCD', 'PHID']	solute carrier family 29 member 3	44.83	40.51	0.9036359580637966
11164.1	NUDT5	['YSA1', 'YSA1H', 'YSAH1', 'hNUDT5']	nudix hydrolase 5	107.73	146.62	1.360995080293326
952.1	CD38	['ADPRC 1', 'ADPRC1']	CD38 molecule	14.23	0.08	0.005621925509486999
1375.1	CPT1B	['CPT1-M', 'CPT1M', 'CPTI', 'CPTI-M', 'M-CPT1', 'MCCPT1', 'MCPT1']	carnitine palmitoyltransferase 1B	9.22	5.03	0.5455531453362256
1374.1	CPT1A	['CPT1', 'CPT1-L', 'L-CPT1']	carnitine palmitoyltransferase 1A	1.32	113.18	85.74242424242425
1375.3	CPT1B	['CPT1-M', 'CPT1M', 'CPTI', 'CPTI-M', 'M-CPT1', 'MCCPT1', 'MCPT1']	carnitine palmitoyltransferase 1B	9.22	5.03	0.5455531453362256
1375.2	CPT1B	['CPT1-M', 'CPT1M', 'CPTI', 'CPTI-M', 'M-CPT1', 'MCCPT1', 'MCPT1']	carnitine palmitoyltransferase 1B	9.22	5.03	0.5455531453362256
1375.4	CPT1B	['CPT1-M', 'CPT1M', 'CPTI', 'CPTI-M', 'M-CPT1', 'MCCPT1', 'MCPT1']	carnitine palmitoyltransferase 1B	9.22	5.03	0.5455531453362256
126129.1	CPT1C	['CATL1', 'CPT1-B', 'CPT1P', 'CPTI-B', 'CPTIC', 'SPG73']	carnitine palmitoyltransferase 1C	0.62	0.02	0.03225806451612903
1376.1	CPT2	['CPT1', 'CPTASE', 'IIAE4']	carnitine palmitoyltransferase 2	32.19	29.71	0.9229574401988196
9060.1	PAPSS2	['ATPSK2', 'BCYM4', 'SK2']	3'-phosphoadenosine 5'-phosphosulfate synthase 2	22.27	19.35	0.8688819039066009
9061.1	PAPSS1	['ATPSK1', 'PAPSS', 'SK1']	3'-phosphoadenosine 5'-phosphosulfate synthase 1	80.2	39.97	0.49837905236907726
158.1	ADSL	['AMPS', 'ASASE', 'ASL']	adenylosuccinate lyase	151.57	174.9	1.1539222801345914
158.2	ADSL	['AMPS', 'ASASE', 'ASL']	adenylosuccinate lyase	151.57	174.9	1.1539222801345914
374907.1	B3GNT8	['B3GALT7', 'BGALT15', 'beta3Gn-T8']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	3.61	0.13	0.036011080332409975
79369.1	B3GNT4	['B3GN-T4', 'beta3Gn-T4']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	0.7373657618838096	1.78	2.4139987127317735
374907.2	B3GNT8	['B3GALT7', 'BGALT15', 'beta3Gn-T8']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	3.61	0.13	0.036011080332409975
146712.1	B3GNTL1	['3-Gn-T8', 'B3GNT8', 'BGnT-8', 'beta-1', 'beta3Gn-T8', 'beta3GnTL1']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	7.26	5.96	0.8209366391184573
11041.1	B4GAT1	['B3GN-T1', 'B3GNT1', 'B3GNT6', 'BETA3GNTI', 'MDDGA13', 'iGAT', 'iGNT']	beta-1,4-glucuronyltransferase 1	190.82	55.83	0.2925793941934808
10678.2	B3GNT2	['3-Gn-T1', '3-Gn-T2', 'B3GN-T2', 'B3GNT', 'B3GNT-2', 'B3GNT1', 'BETA3GNT', 'BGNT2', 'BGnT-2', 'beta-1', 'beta3Gn-T1', 'beta3Gn-T2']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	26.23	37.9	1.4449104079298511
93010.1	B3GNT7	beta3GnT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	0.65	0.03	0.04615384615384615
