GENE	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_C11_419730	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: GSM253206	Liver_Cancer.Cell.Line_Low_PLC-PRF-5_Hepatocellular.Carcinoma: MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A04_454756
LOC100128988	26.48	53.87	35.54
C20orf181	81.83	57.29	80.17
LOC100129006	27.55	40.46	35.14
LOC100129014	32.68	58.64	34.73
LOC100129015	42.68	33.83	27.88
LOC100129022	119.37	181.08	156.28
LOC100129034	71.79	70.15	51.66
LOC100129041	65.29	31.36	46.96
LOC100129087	70.10	95.70	88.43
LOC100129098	74.19	148.65	81.80
LOC100129104	42.22	30.73	31.16
LOC100129105	171.80	251.65	216.17
LOC100129122	49.17	66.49	74.25
KHDC1L	17.23	18.95	18.11
LOC100129129	23.78	37.19	31.93
LOC100129175	27.86	20.50	27.16
LOC100129194	20.67	25.92	20.50
ZSCAN16-AS1	25.83	24.41	31.52
TOPORS-AS1	177.53	138.95	173.63
LOC100129268	31.97	67.16	49.56
C1orf68	33.71	36.80	44.02
LOC100129289	32.65	18.55	23.18
LOC100129335	28.64	42.39	36.78
LOC100129346	14.47	21.38	18.57
SMIM10L1	1296.49	978.89	1175.62
GABPB1-AS1	103.24	140.86	108.71
LOC100129410	23.12	20.61	25.48
C8orf5	25.83	28.94	31.35
LOC100129476	22.24	18.07	29.59
ZNF37BP	53.79	33.85	27.24
LOC100129500	29.28	23.32	22.73
LOC100129502	139.55	170.46	188.60
PP13	36.11	65.06	55.02
LOC100129516	25.04	26.38	39.96
LOC100129546	19.91	21.29	18.89
LOC100129562	22.22	17.58	18.29
LOC100129563	82.80	60.23	87.27
LOC100129592	54.58	57.57	48.89
LINC00462	18.31	16.70	16.40
LOC100129602	14.13	12.14	13.38
LOC100129617	58.18	104.22	59.24
LOC100129624	33.31	34.19	26.97
LOC100129637	112.24	131.84	88.08
LOC100129656	20.97	19.47	23.56
FGF13-AS1	16.71	34.65	28.06
LOC100129665	13.10	12.81	13.39
MICA	29.20	17.42	623.91
LOC100129673	203.53	183.74	241.74
LOC100129686	17.79	14.20	17.01
ARRDC3-AS1	73.92	98.51	93.05
LINC01126	31.28	41.57	45.69
LOC100129762	27.72	30.95	29.12
CCDC152	12.49	14.61	12.84
SLC25A21-AS1	17.77	16.27	17.42
MRVI1-AS1	168.53	233.00	143.22
LOC100129828	20.38	18.49	28.01
LOC100129837	44.46	41.30	53.78
PCOLCE-AS1	152.07	172.57	163.45
LOC100129857	208.80	217.61	325.02
SCOC-AS1	25.33	29.69	20.18
LOC100129865	104.79	94.86	92.09
LOC100129890	21.87	27.79	35.58
LOC100129895	40.11	35.24	23.42
RPS27P19	54.14	115.38	77.25
LOC100129907	60.27	68.25	53.99
LOC100129932	74.04	76.98	33.87
LOC100129951	43.16	63.65	48.83
SDCBPP2	41.50	21.44	17.88
LOC100129965	96.66	194.63	103.82
FAM205C	33.77	46.59	48.59
LOC100129973	12.75	15.14	14.72
LOC100129988	17.81	18.43	21.30
LOC100130054	37.09	38.68	38.15
LOC100130089	21.68	25.12	44.95
LOC100130100	66.91	90.92	65.10
LOC100130123	555.56	514.95	258.46
LOC100130130	163.17	143.78	173.08
LOC100130134	12.92	13.20	12.86
LOC100130212	27.23	20.56	20.48
LOC100130219	53.12	51.81	57.91
LOC100130229	13.66	12.82	22.09
LOC100130232	22.91	19.72	23.53
LOC100130262	55.41	59.00	54.75
LOC100130291	93.46	66.07	98.87
GAFA2	140.79	200.59	198.98
LOC100130332	71.61	66.80	66.91
LOC100130344	24.02	34.56	75.82
TMEM262	38.89	34.55	45.71
LOC100130349	24.26	20.55	20.25
LOC100130356	22.21	24.35	31.15
LOC100130360	23.86	19.30	22.69
LOC100130389	21.11	33.00	31.28
LOC100130423	12.22	11.15	10.92
LOC100130426	41.44	64.13	48.45
LOC100130428	44.32	51.12	33.64
PP14571	13.19	16.43	14.02
LOC100130452	28.67	19.18	25.33
LOC100130458	16.99	18.17	16.28
LOC100130464	82.55	96.78	69.06
LOC100130494	128.36	95.98	88.92
LOC100130502	59.85	110.69	72.53
LOC100130503	13.14	11.99	12.31
LOC100130536	44.14	38.26	55.07
LOC100130541	35.47	35.97	39.50
LOC100130544	53.81	69.57	113.75
LOC100130548	18.20	16.31	20.02
NFYC-AS1	84.29	85.81	59.61
LOC100130598	17.47	18.08	17.69
PP12708	15.69	21.25	14.88
PRR32	26.74	29.31	27.51
RPL15P22	483.21	716.29	227.81
LOC100130633	236.55	269.98	460.74
LOC100130672	30.73	30.20	34.97
TP53TG3HP	90.82	126.60	80.64
LOC100130703	34.90	15.19	12.16
LRRC70	68.55	34.75	23.53
LOC100130740	29.93	34.99	35.89
LOC100130744	28.57	31.10	31.10
AGAP2-AS1	88.51	59.98	148.65
LOC100130797	92.31	127.48	128.54
LOC100130816	21.34	14.97	22.88
LOC100130840	83.71	64.72	59.50
LOC100130862	526.91	624.22	283.07
LOC100130868	9.77	12.45	25.00
LOC100130885	150.53	177.58	253.55
LOC100130905	61.77	73.81	72.19
LOC100130938	33.65	32.53	30.68
SYCE1L	48.25	37.21	44.08
LOC100130964	17.37	18.05	20.60
C6orf99	23.43	24.04	42.95
LOC100130979	29.15	48.43	42.26
LOC100130992	13.30	13.98	13.05
LOC100130998	20.39	22.86	23.96
LOC100131005	92.00	76.36	90.78
LOC100131014	21.32	24.54	16.22
LOC100131015	55.27	149.01	63.16
ZNF316	94.40	99.30	102.44
LOC100131040	39.66	41.08	53.65
LOC100131056	19.97	24.88	17.87
LOC100131081	43.69	52.27	32.01
LOC100131093	52.45	81.22	56.19
TNRC6C-AS1	42.89	40.11	36.22
LOC100131110	157.73	96.38	453.76
LOC100131112	69.97	78.43	76.77
LINC01405	23.28	12.66	17.26
VN1R95P	253.00	189.31	166.11
LOC100131164	83.84	141.82	137.85
LOC100131177	33.43	24.12	24.04
TSTD1	269.32	164.42	37.28
NEMP2	56.70	78.82	37.71
ZNF503-AS2	53.71	59.67	63.77
LOC100131226	44.12	80.38	61.72
GAFA1	32.98	21.67	40.53
LOC100131283	13.41	13.71	11.05
LOC100131298	15.94	20.47	17.68
LOC100131311	32.17	52.95	38.36
LOC100131345	15.27	14.69	13.56
LOC100131347	69.31	119.65	63.61
LOC100131354	26.88	27.07	23.39
LINC00605	35.74	45.61	56.67
LOC100131402	53.16	52.06	69.02
LOC100131413	19.52	18.74	17.84
LOC100131414	52.44	52.02	36.47
LOC100131435	22.51	16.49	37.22
LOC100131455	54.95	55.56	53.34
LOC100131480	16.37	20.81	17.60
LOC100131498	18.44	16.81	17.51
LOC100131512	52.34	42.65	60.74
LOC100131556	918.54	717.38	1219.61
FKSG29	46.48	61.58	58.19
LOC100131564	50.63	30.79	45.19
LOC100131601	34.02	36.02	31.82
LOC100131613	23.38	24.07	19.79
LOC100131637	22.50	21.92	29.29
LOC100131642	79.06	97.80	50.98
BCGF1	10.24	9.89	10.09
LOC100131662	16.96	18.69	23.25
LOC100131664	14.98	13.92	17.47
LOC100131683	54.84	63.45	70.73
LOC100131721	46.72	57.89	56.02
LOC100131728	59.56	73.64	76.38
LOC100131731	50.79	57.85	46.45
USP30-AS1	26.17	29.70	26.90
PET100	403.49	315.76	214.03
UBE2DNL	35.92	41.11	43.04
ZNF717	95.59	86.09	123.20
LOC100131864	110.61	74.17	76.93
LOC100131869	20.42	18.28	20.25
LOC100131904	23.59	25.15	25.07
LOC100131914	72.53	63.04	112.12
MUSP1	191.21	122.68	90.20
LOC100131989	105.08	101.28	48.07
RRN3P3	33.45	44.08	60.90
LOC100132051	18.93	17.01	15.35
LOC100132078	18.89	19.13	15.77
LOC100132129	119.54	98.60	104.70
FKSG41	27.92	32.77	36.99
LINC00543	20.88	28.64	15.40
LOC100132279	53.33	75.41	48.19
MST075	137.23	86.27	82.33
LOC100132302	42.02	34.47	34.45
LOC100132319	30.09	25.19	30.84
LOC100132323	73.40	36.05	82.32
CLUHP3	63.20	62.89	49.16
LOC100132356	29.26	34.72	28.04
LOC100132369	43.28	20.85	30.17
KRTAP4-9	21.21	32.15	27.39
LOC100132430	1852.17	1720.37	2366.44
XGY2	17.14	19.59	23.08
ZRANB2-AS1	16.29	16.64	21.50
LOC100132625	26.55	41.49	43.81
LOC100132634	62.60	75.39	37.85
LOC100132661	28.55	26.04	32.05
PAXIP1-AS2	61.78	132.56	67.28
LOC100132739	36.69	31.14	40.39
LOC100132767	21.59	21.41	30.10
LOC100132833	17.24	21.26	28.66
LOC100132884	132.03	190.59	613.32
LOC100132894	16.93	12.47	16.22
LOC100132903	127.63	161.28	123.87
DPH3P1	42.84	81.78	89.98
LOC100133019	15.94	13.23	14.73
LOC100133116	51.55	55.53	30.69
ZNF865	54.08	78.31	73.31
LOC100133166	292.42	140.22	225.69
SCDOS	2645.82	3381.15	1052.50
LINC00240	19.90	31.22	21.88
LOC100133229	24.83	34.58	25.19
LOC100133233	16.39	36.41	21.02
LOC100133236	20.31	15.40	25.63
LOC100133276	267.65	312.78	890.02
HOXA-AS3	25.78	17.07	21.59
LOC100133332	26.13	28.33	27.86
HDAC6	242.12	209.66	232.70
HDAC5	93.62	99.59	95.74
PDCD6IP	841.96	862.63	683.22
PDCD6	713.86	750.39	1354.08
BCL2L10	31.49	27.25	32.31
BCL2L11	234.88	142.57	102.77
SH2B3	382.65	627.43	460.23
CDH3	56.62	89.82	78.68
GNE	430.27	438.61	516.89
HCN4	54.37	32.56	32.65
INSL5	27.05	20.89	27.64
FRAT1	187.38	404.28	239.22
TROAP	406.50	513.99	323.97
MED16	265.56	260.40	143.92
PIGK	208.38	204.82	264.72
CDH4	36.65	31.56	26.26
CHAF1A	287.26	296.05	160.10
PARP2	1008.64	1249.64	562.38
PARP3	63.91	46.28	114.01
CDH5	26.53	24.38	34.18
TOM1L1	222.23	153.59	756.50
HMGXB4	330.87	338.24	315.39
TOM1	148.55	103.62	108.68
SH2D3C	29.10	29.34	34.37
SH2D3A	24.99	17.20	35.47
MAMLD1	59.17	93.66	63.66
CST8	48.68	74.90	52.26
RANBP9	319.68	317.50	310.12
DNAJB6	542.28	487.58	415.21
CDH6	91.98	104.10	18.20
SLC17A4	58.56	125.28	90.18
SMC4	849.05	819.95	488.46
GJC1	139.31	148.87	130.31
AP1M2	727.55	1425.25	391.56
UBA2	3849.35	4157.79	4017.55
SAE1	2140.45	1476.74	1648.23
FARSB	1123.59	1633.90	1131.17
ABCC5	174.93	194.48	164.45
ABCB6	233.42	261.80	43.44
DNM1L	681.33	351.82	820.41
CDH7	35.99	41.74	26.93
ABCC9	19.23	18.94	18.71
ABCF2	184.75	240.42	219.69
NR1H3	155.72	189.64	108.26
SCAMP2	781.01	778.96	793.89
SCAMP3	719.08	1413.35	1324.65
IL18BP	62.94	106.03	66.28
RWDD2B	374.49	312.35	139.82
CDH8	32.26	27.48	34.06
MUC12	28.62	32.87	28.85
DPP3	1397.66	1040.38	724.33
SNUPN	363.45	448.05	540.86
HUWE1	223.26	241.24	265.29
PTPRU	74.07	126.18	166.32
TSPAN32	43.23	51.02	59.04
TSSC4	127.96	122.42	161.67
ATP9A	400.40	250.85	498.48
CDH9	37.56	46.09	31.57
PDCD7	153.14	187.25	168.29
GPC6	219.24	449.10	437.85
USH1C	150.35	86.44	83.94
PQBP1	1267.35	1065.05	595.81
EDIL3	25.27	23.99	19.86
HHLA1	63.33	85.89	81.46
COL4A3BP	148.91	174.45	113.87
KCNK7	36.91	40.22	32.06
CDH10	88.67	30.27	52.25
UST	26.77	37.31	27.92
ARPC5	2081.06	1546.40	1714.30
ARPC4	569.16	270.35	345.44
ARPC1B	1681.46	1524.58	4342.17
ACTR3	2173.19	1568.97	2137.19
ACTR2	900.07	613.32	720.47
TSPAN5	34.17	28.78	106.91
TSPAN3	1237.40	1077.00	1255.89
CDH11	38.50	34.28	39.63
ADA	135.92	66.24	382.65
TSPAN2	24.93	22.38	18.28
NUBP2	460.86	488.09	501.95
TSFM	541.46	536.45	445.17
TSPAN1	81.97	120.16	82.55
PPIF	932.66	926.41	577.51
CTDSP2	329.01	323.05	490.73
TRIM10	37.36	41.58	40.99
ARPC2	2739.51	2456.35	3051.71
CDH12	17.94	14.57	21.65
SGK2	68.90	67.02	88.65
RAD50	65.83	74.56	154.77
KIF20A	854.36	803.25	573.76
PREB	481.84	643.86	631.26
HIPK3	34.40	29.76	51.14
FEM1B	78.17	78.23	145.48
ENAM	72.24	103.39	45.98
ACTR1B	374.03	385.42	328.83
ACTR1A	598.54	577.75	599.78
ARL4C	117.48	104.50	103.88
RASGRP1	31.18	16.15	14.33
DNAL4	118.46	105.47	76.47
ZNF263	206.19	320.88	340.76
LRPPRC	762.71	849.52	1213.87
FRY	72.04	180.09	66.20
CDH13	29.07	28.75	31.70
PDIA6	2382.73	2115.23	6038.19
TRAP1	862.63	1013.34	1022.86
OPTN	201.24	208.86	441.42
BCAP31	1961.99	3066.55	4674.51
NAMPT	317.85	208.23	309.76
CELA3A	55.37	71.41	69.90
RBM12	404.39	451.88	333.77
YAF2	114.73	91.77	134.15
ARFRP1	145.07	155.19	147.86
CDH15	55.92	39.61	53.94
TOB1	783.89	628.82	1293.17
LINC01587	21.12	22.89	18.64
AKAP9	95.02	92.17	79.58
CLEC3A	37.31	47.18	40.96
FAM13A	190.53	236.98	82.60
G3BP1	634.86	543.79	513.07
SUGP2	246.05	205.29	209.98
EBI3	33.38	41.93	156.93
ADGRG2	37.53	39.43	34.77
CDH16	25.50	40.28	32.34
MBNL2	180.41	108.46	181.89
HNRNPA3P1	26.00	19.28	16.18
ABI2	289.68	421.24	504.57
CEBPZ	645.83	582.01	1136.20
PLXNC1	99.97	52.62	52.87
TRIM28	1975.36	1565.71	2179.83
AASS	53.19	26.85	53.35
PDZK1IP1	36.32	63.02	43.93
ATP6AP2	1933.10	959.14	2497.55
CDH17	59.44	53.80	81.83
FARP1	316.22	262.09	307.04
LPAR6	409.30	407.57	127.14
LPCAT3	232.70	176.93	171.09
WASF2	209.98	292.42	253.69
CHST4	42.75	92.33	65.05
SLC25A13	560.16	416.97	519.22
SLC25A15	112.12	210.47	344.20
ZNF197	63.83	45.20	26.72
SERF2	383.96	419.87	410.49
CDH18	39.17	65.94	42.75
DHRS9	31.00	50.95	33.72
RCL1	256.12	226.57	154.07
ZNF256	91.41	58.76	55.22
SORBS3	185.71	194.93	76.82
CNIH1	3044.52	3199.21	3630.37
TENM1	22.80	22.80	25.86
RBM7	394.83	390.34	567.55
CDK2	577.75	399.90	588.50
RBM6	275.27	233.24	237.09
RBM5	524.32	764.67	490.94
LHFPL2	252.41	249.19	264.50
LHFP	38.60	20.81	35.95
TNK2	61.87	65.90	63.14
ALYREF	1076.25	805.42	901.64
CDK3	85.24	88.83	78.16
TXNDC9	726.84	837.30	814.57
RNF41	157.24	195.36	142.60
TSHZ1	80.48	59.54	121.36
ALG3	1025.63	1137.07	1184.78
PRMT3	273.08	249.00	432.15
PSME3	626.90	681.33	1034.06
MPHOSPH9	108.46	95.06	98.09
MPHOSPH10	867.61	477.71	552.95
CDK4	2569.19	2169.88	2451.76
ADAM8	52.57	56.96	46.22
MPHOSPH6	1046.02	994.21	671.95
NME6	276.99	176.01	168.78
DHRS2	33.59	28.85	214.91
CALCRL	21.35	23.63	28.48
MPZL2	224.13	204.27	88.84
TRIM13	151.48	175.84	170.54
INADL	46.42	26.18	50.67
USPL1	218.12	355.89	209.08
EIF1	3964.44	3536.24	5797.84
CDK5	613.32	574.95	947.18
TOPORS	157.35	153.47	153.21
FLOT1	777.77	885.90	1005.99
DDX39A	1529.13	1761.27	1961.99
PSMD14	2564.21	2488.22	2873.11
SSX3	36.20	46.83	37.93
OLIG2	28.73	26.93	34.42
PRG4	15.38	21.10	18.61
CTDSPL	334.16	239.09	528.73
ANGPTL7	23.14	34.43	43.78
KLRG1	85.34	81.80	85.63
CDK6	91.43	116.44	138.88
GDF11	179.73	255.50	92.48
TRIB1	49.10	52.64	70.65
GPA33	52.44	76.80	72.85
CD96	29.31	29.04	26.25
PLIN3	1171.06	528.73	975.70
MFSD10	252.34	216.00	334.16
STX6	115.92	113.98	165.34
COQ7	136.44	119.88	125.64
CDK7	544.84	398.63	493.05
NBR2	73.31	93.14	68.35
RCAN2	59.02	38.44	32.04
MSLN	16.21	13.41	15.41
LRRC23	60.24	67.70	109.67
LRRC17	35.71	37.08	29.08
RASGRP2	24.41	27.48	38.54
HNRNPR	1728.25	1838.36	1702.57
SLC35B1	868.57	908.16	1187.49
DCAF7	287.74	172.53	242.31
AP3S2	238.77	227.75	220.65
MRPS31	407.82	633.76	473.49
CALCOCO2	283.87	257.42	563.71
KCNMB2	26.45	23.24	28.51
GPHN	77.13	108.61	204.87
RABEPK	695.74	722.22	592.10
TIMM17B	1109.74	936.15	1094.68
SLC17A2	151.37	101.84	40.16
HRSP12	793.45	819.50	414.38
POP7	935.57	1118.69	776.53
GLYAT	30.07	35.25	37.08
CDK8	118.18	202.11	145.41
SRRM1	1029.12	1700.68	1041.03
SPRY1	380.72	588.50	524.14
SPRY2	964.01	591.90	428.43
STAM2	117.10	112.32	131.49
HCG9	34.19	41.56	48.25
CNKSR1	92.46	73.97	66.94
ABCC4	159.59	179.73	238.77
CDK9	381.44	162.74	226.80
DENND4A	328.92	512.67	314.13
IGSF6	17.91	17.90	15.09
SF3B4	705.65	1024.28	1026.34
CDK2AP2	1033.34	688.64	582.49
IRX5	20.34	33.58	73.56
RAMP2	113.72	120.95	79.16
RAMP1	70.27	68.53	67.87
RAMP3	56.34	100.91	95.85
ZMPSTE24	909.80	1075.51	1230.48
CDKN1A	130.81	67.99	253.28
AKAP8	306.70	406.36	295.70
FSTL3	136.12	137.40	289.92
STUB1	618.06	640.74	1273.69
STAG1	232.28	242.58	235.62
NET1	543.98	700.97	236.30
UBE4B	191.30	241.87	125.17
EFS	40.05	67.74	57.35
PRSS16	19.44	22.87	250.52
CDKN1B	1062.83	2130.83	702.96
SIGMAR1	335.83	573.32	1004.04
DSCR4	39.90	32.83	63.06
BET1	596.55	467.36	687.06
CWC27	327.49	250.99	306.96
SAP18	370.13	474.68	232.52
SMNDC1	947.77	1127.73	791.80
BCAS2	744.02	543.15	670.74
RGS19	192.98	187.95	317.76
LILRB2	17.50	16.37	14.51
EIF1B	3215.44	2853.86	1732.33
CDKN1C	114.55	56.02	47.91
SPEG	47.05	57.91	56.60
SF3A1	426.74	371.86	328.72
TRAIP	124.48	109.39	112.90
DNAJA2	735.87	727.90	553.37
BCKDK	167.92	160.30	327.01
MAEA	1142.99	941.95	685.78
APC2	33.63	24.74	33.52
PAK4	395.85	508.89	524.54
MARCH6	428.72	708.39	434.35
CDKN2A	253.95	267.50	222.18
ADAM10	251.13	160.53	274.15
KATNB1	171.64	224.88	154.25
DLEU1	494.32	515.74	552.30
SNAPC5	56.93	28.19	33.15
APBB3	111.03	100.75	147.40
ZNF267	83.73	63.85	86.25
CCNO	24.39	38.13	100.63
CDKN2B	102.12	53.79	28.63
DSCR3	93.56	112.41	236.17
TCIRG1	525.52	331.35	395.33
RTN3	1104.13	1077.74	1399.02
LANCL1	282.22	257.28	1304.25
NMUR1	21.16	21.05	20.77
B3GALT5	24.76	22.47	22.42
TNIP1	281.52	211.91	520.77
LAMC3	31.25	64.82	47.38
CDKN2C	155.83	256.46	208.64
IKZF1	27.59	30.36	28.03
CRISP3	26.95	13.10	12.49
SMYD5	194.48	228.46	200.19
KLHL41	17.03	19.49	27.73
RRAGB	37.55	59.39	84.24
SIRPB1	41.00	39.03	41.52
AKR1A1	1365.01	1355.30	1147.28
EMC8	966.48	675.68	523.16
TMEM5	821.72	830.36	980.11
CDKN2D	92.91	60.76	81.28
CNPY2	2433.81	2733.82	3182.84
B3GNT3	92.44	126.33	118.18
CLEC4M	29.41	30.75	36.27
TLR6	30.70	32.18	34.99
MRVI1	52.62	67.35	55.63
PCGF3	212.72	237.34	146.62
CDKN3	1623.28	1501.72	861.20
TFG	3505.98	2609.58	2661.82
PKDREJ	56.09	52.53	81.82
CCL26	23.90	28.74	43.71
TRDN	14.24	14.22	13.23
TRIM22	35.51	46.27	37.42
ABCA7	69.05	47.66	96.78
ABCA9	25.28	22.17	19.70
ABCA8	22.67	22.45	80.69
WARS2	133.95	138.19	103.10
NPM3	188.42	451.26	291.69
NPM2	163.53	199.58	165.91
HMG20B	345.97	299.06	372.89
HMG20A	405.17	464.26	224.02
KLF2	223.79	134.06	405.60
MICU1	422.21	502.51	409.15
CACNG3	38.70	53.75	37.04
CACNG2	48.75	49.88	52.33
CDO1	243.40	179.33	178.54
CITED2	793.89	745.88	520.19
SEMA3A	43.92	61.16	43.31
TUBA1B	12515.25	11746.96	13454.49
IRF9	229.09	194.78	532.19
BPNT1	329.10	291.37	205.09
TUBB3	683.83	188.80	494.66
TUBB4A	55.32	107.63	141.68
TUBB4B	9303.13	9197.97	3556.64
BTN3A3	24.76	16.46	37.62
BTN2A2	75.09	61.39	84.90
SYCP2	14.29	13.29	74.82
SCML2	219.79	325.95	322.20
CDR1	13.25	15.12	16.57
CEPT1	182.65	197.79	144.16
MYL12B	1151.58	2291.22	1491.35
CORO2B	29.34	32.97	23.15
NOD1	82.84	104.79	92.12
ANAPC10	513.24	529.14	394.31
PRG3	35.41	45.30	38.19
DLC1	466.55	636.23	168.16
ATP8A1	41.01	41.08	40.52
NDRG1	500.87	362.57	139.25
MYL9	467.20	270.78	1077.00
GNB2L1	16306.96	12515.25	9516.40
CDR2	540.44	597.05	425.88
ADAR	1833.65	2225.17	1748.62
PEMT	277.97	235.31	330.27
PIAS3	109.46	84.70	190.64
ST3GAL6	380.59	344.32	14.51
NDC80	776.96	962.81	449.57
CPQ	170.58	129.87	137.76
WFDC2	40.32	33.21	37.61
SPAG11B	37.84	21.96	34.65
BASP1	40.32	100.13	170.04
CDS1	101.93	78.65	104.87
RAPGEF3	47.98	31.35	46.39
YAP1	611.50	585.57	451.41
SPON2	159.48	111.08	59.23
SPON1	31.04	28.91	32.40
PRMT5	1399.02	1242.47	1024.28
CDSN	31.97	54.37	40.51
TESK2	133.76	110.16	100.75
CD2BP2	270.71	230.66	315.22
UBAC1	444.86	373.79	318.49
CDIPT	1313.32	1002.72	1513.84
PGRMC2	557.26	672.60	482.00
ARIH2	292.83	349.10	222.69
TUBGCP3	112.41	121.41	135.11
SEC24B	600.28	822.17	734.08
CFDP1	803.69	623.65	431.17
TMEM147	2425.22	2972.99	4941.73
TIMM23	1188.40	1323.46	1146.40
RBM14	208.17	210.30	148.98
LYPLA1	2000.02	1948.71	2539.80
CDC42EP2	103.95	92.66	120.36
EMG1	1376.13	1795.54	1628.58
IFI30	715.99	547.80	979.50
C1D	307.21	211.53	230.48
OLFM1	29.99	35.22	34.11
CD52	32.61	23.99	29.20
TIMM17A	962.20	779.39	1142.99
N4BP2L2	129.54	243.08	105.88
ZER1	96.57	77.64	85.44
MCRS1	392.57	489.17	340.85
LRRN2	32.16	46.16	50.55
ACAA2	2762.58	2624.81	1358.88
CDX1	112.45	145.98	149.70
PPIE	201.09	226.22	225.92
VAV3	36.28	37.36	31.54
TAB1	77.31	82.66	73.02
ECI2	714.21	626.08	932.66
HAX1	1859.24	2579.01	1738.47
GPNMB	45.67	60.11	28.59
BAIAP2	64.59	60.95	69.45
MAD2L2	750.76	891.07	810.18
CDX2	98.60	82.84	83.11
TACC3	557.06	770.95	481.30
MERTK	107.38	126.72	127.08
CLEC10A	30.47	32.48	27.55
SLC30A9	516.31	491.28	510.58
PIBF1	172.02	171.30	132.43
PPIH	511.89	758.81	516.71
COG5	492.34	438.76	527.34
ZNHIT1	1970.03	2283.61	920.26
FST	991.66	1193.02	1332.76
TIMM44	342.98	360.26	228.98
CDX4	31.38	38.00	32.12
PFDN6	258.25	207.27	555.33
ZBTB18	66.17	80.83	42.76
HMGN4	574.95	480.64	1793.30
TADA3	97.13	80.99	79.00
TRIM38	107.40	41.99	99.48
